	t.test	welch.test	wilcox.test	f.test	kruskal.test	limma	rfe	rf	lasso	elasticnet	boosting	golub	shrinkcat	foldChange	majority voting
BBS10	0	0	1	0	1	0	0	0	0	0	0	0	0	0.006928106	2
KRT23	0	0	1	0	1	0	0	0	0	0	0	0	0	-0.643714165	2
PPFIBP2	0	0	1	0	1	0	0	0	0	0	0	0	0	1.061330392	2
NOLC1	0	0	1	0	1	0	0	0	0	0	0	0	0	0.270837225	2
ATP1B1	0	0	0	0	0	0	0	1	0	0	1	0	0	4.324305504	2
MIOS	1	0	0	1	0	0	0	0	0	0	0	0	0	-3.236512709	2
MYH10	0	0	1	0	1	0	0	0	0	0	0	0	0	0.929009061	2
PHF19	0	0	1	0	1	0	0	0	0	0	0	0	0	5.472932589	2
BIRC3	0	0	0	0	0	0	0	0	0	0	0	0	1	-8.860145054	1
RUNX3	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.480327243	1
RNF146	0	0	0	0	0	1	0	0	0	0	0	0	0	-3.516106096	1
CTSS	0	0	0	0	0	1	0	0	0	0	0	0	0	-3.058953857	1
LOC101060424	0	0	1	0	0	0	0	0	0	0	0	0	0	-3.889605552	1
COA7	0	0	0	0	0	1	0	0	0	0	0	0	0	0.755940804	1
CYLD	0	0	0	0	0	1	0	0	0	0	0	0	0	0.549025068	1
XRCC5	0	1	0	0	0	0	0	0	0	0	0	0	0	4.178892111	1
DUSP4	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.413860267	1
DAD1	0	0	0	0	0	0	0	0	0	0	0	1	0	3040.921507	1
PLBD1	0	0	0	0	0	0	0	0	0	0	0	1	0	3.701609859	1
STX7	0	0	0	0	0	0	0	0	0	0	0	1	0	-1.008591735	1
CAMP	0	0	0	0	0	0	0	0	0	0	0	1	0	34.02842702	1
ASXL1	0	0	0	0	0	1	0	0	0	0	0	0	0	3.489065389	1
ADAM19	0	0	0	0	1	0	0	0	0	0	0	0	0	-1.048832686	1
IL2RA	0	1	0	0	0	0	0	0	0	0	0	0	0	0.251842946	1
RNPEP	0	0	0	0	0	1	0	0	0	0	0	0	0	-6.944325577	1
BTBD19	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.129123699	1
COPG1	0	0	0	0	0	0	0	0	0	0	0	0	1	-1.298022921	1
C8orf60	0	0	0	0	0	1	0	0	0	0	0	0	0	0.236308397	1
HN1	0	1	0	0	0	0	0	0	0	0	0	0	0	0.31127255	1
C11orf49	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.276690265	1
BROX	0	0	0	0	0	1	0	0	0	0	0	0	0	11.19489613	1
COQ2	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.016785474	1
CSTA	0	0	0	0	0	0	0	0	0	0	1	0	0	21.68058684	1
IRF4	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.719192091	1
LOC100130264	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.687266938	1
ZCRB1	0	0	1	0	0	0	0	0	0	0	0	0	0	-4.60628293	1
PDIA6	0	0	0	0	0	0	0	0	0	0	0	1	0	4.57752618	1
ZFYVE26	0	0	1	0	0	0	0	0	0	0	0	0	0	0.963536841	1
FCGR3B	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.108846696	1
BRCC3	0	0	0	0	0	0	0	0	0	0	0	1	0	-3.752189898	1
PCCA	0	0	0	0	0	0	0	1	0	0	0	0	0	-2.527656779	1
ZNF587B	0	0	0	0	0	0	0	0	0	0	0	1	0	9.457273305	1
IL3RA	0	0	0	0	0	0	0	0	0	0	0	1	0	-1.252871493	1
HSD17B11	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.530166927	1
DACH1	0	0	1	0	0	0	0	0	0	0	0	0	0	-1.488116881	1
NT5DC1	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.044677978	1
KRCC1	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.382698879	1
YES1	0	0	0	0	0	1	0	0	0	0	0	0	0	1.26740144	1
AP3M1	0	0	1	0	0	0	0	0	0	0	0	0	0	1.527137947	1
CR1	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.457912514	1
MARCKSL1	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.648974875	1
MRVI1	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.495626979	1
LOC158402	0	0	0	0	0	0	0	0	0	0	0	1	0	-12.33335655	1
PRF1	0	0	0	0	0	1	0	0	0	0	0	0	0	0.300392991	1
CLEC12A	0	0	0	0	0	0	0	0	0	0	0	1	0	0.501282896	1
ING2	0	0	0	0	0	0	0	0	0	0	0	1	0	0.229711822	1
SLC25A37	0	1	0	0	0	0	0	0	0	0	0	0	0	0.285615544	1
MYO6	0	0	0	0	0	1	0	0	0	0	0	0	0	-1.113507724	1
TTC7A	0	0	0	0	0	0	0	0	0	0	0	1	0	0.973928856	1
SAMSN1	0	0	0	0	0	0	0	0	0	0	1	0	0	0.041328343	1
NUP98	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.841768956	1
GNG2	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.258415328	1
PREPL	0	0	0	0	0	0	0	0	0	0	0	1	0	0.310278164	1
FAM65B	0	0	0	0	0	1	0	0	0	0	0	0	0	0.612148963	1
IFITM1	0	0	0	0	0	0	0	0	0	0	0	1	0	0.695652824	1
POLR2M	0	0	0	0	0	1	0	0	0	0	0	0	0	0.352444866	1
FAM162A	0	0	0	0	0	0	0	0	0	0	1	0	0	11.29569718	1
SMCHD1	0	0	0	0	0	0	0	0	0	0	1	0	0	-0.95890957	1
NINJ1	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.252452952	1
HLA-DMB	0	0	0	0	0	0	0	0	0	0	1	0	0	3.850916966	1
LIPA	0	0	0	0	0	0	0	0	0	0	0	1	0	2.453321666	1
MRPL57	0	0	0	0	0	0	0	0	0	0	1	0	0	1.410857468	1
CLC	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.245382183	0
GNA15	0	0	0	0	0	0	0	0	0	0	0	0	0	-50.72634751	0
PRSS33	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.564237043	0
CRLF2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.190368252	0
CCL22	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.369137382	0
GATA2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.495473385	0
ALOX15	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.803578137	0
VEGFA	0	0	0	0	0	0	0	0	0	0	0	0	0	0.347511858	0
CCL17	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.410545232	0
SATB1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.372986724	0
SOCS2	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.226792727	0
SMOX	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.66684925	0
LOC101927770	0	0	0	0	0	0	0	0	0	0	0	0	0	0.318394311	0
TARP	0	0	0	0	0	0	0	0	0	0	0	0	0	2.523052702	0
CISH	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.436751359	0
BST1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.549128331	0
HELZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0.78852889	0
GPR183	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.249189173	0
FECH	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.227454352	0
RFTN1	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.798941807	0
FCER1A	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.687002354	0
CCR7	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.091357986	0
FAM118A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105008205	0
GLCCI1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.839600403	0
NDFIP1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.349832827	0
MMP19	0	0	0	0	0	0	0	0	0	0	0	0	0	3.681512449	0
NLRC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.890577867	0
TRGC2	0	0	0	0	0	0	0	0	0	0	0	0	0	4.758011994	0
ZFYVE21	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.748331589	0
KIF21B	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.954614282	0
TRGV9	0	0	0	0	0	0	0	0	0	0	0	0	0	16.2278475	0
C21orf91-OT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.265135066	0
TRAPPC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0.430725961	0
CD207	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.867949564	0
ATP2A3	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.359937968	0
HAUS1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.197170457	0
MEIS3P1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.578809886	0
ADORA3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.489538986	0
ICOSLG	0	0	0	0	0	0	0	0	0	0	0	0	0	0.597982352	0
RASAL3	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.004964544	0
UBA3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.139497075	0
IL18R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228646104	0
SMG1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.307295317	0
DNAJB1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.370626417	0
COL4A3BP	0	0	0	0	0	0	0	0	0	0	0	0	0	1.239392339	0
CD1E	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.378788211	0
TRAF1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.931704843	0
VSTM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.677747503	0
PQLC3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.419888869	0
SIGLEC7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.837903314	0
TES	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.250502341	0
TTYH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012258006	0
SOCS1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.486421225	0
CCNYL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.897534147	0
PTPRCAP	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.202812357	0
GNB4	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.01157548	0
STAC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.506490308	0
ARPC3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.829770359	0
CD1C	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.911929276	0
PTBP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123562343	0
ETS1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.15969877	0
GPR171	0	0	0	0	0	0	0	0	0	0	0	0	0	0.396908448	0
HRH4	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.986511075	0
THBS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.302072116	0
TRAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.437476598	0
ADAM1A	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.247464841	0
PAQR8	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.173694074	0
FCF1	0	0	0	0	0	0	0	0	0	0	0	0	0	5.387437789	0
ANKRD44-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.569754853	0
XPNPEP3	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.931167902	0
TP53	0	0	0	0	0	0	0	0	0	0	0	0	0	8.07949025	0
OTOA	0	0	0	0	0	0	0	0	0	0	0	0	0	12.56006563	0
MAGOHB	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.162352558	0
PPP3R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.947870456	0
ZNF610	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.352060267	0
CUL2	0	0	0	0	0	0	0	0	0	0	0	0	0	-19.17867145	0
TMEM120A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.423283081	0
ITM2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.313642716	0
C5orf22	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.782300066	0
SUMO1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.283383403	0
FLJ37453	0	0	0	0	0	0	0	0	0	0	0	0	0	38.62663362	0
EXTL2	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38586633	0
DCN	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.015139968	0
FAM101B	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.330122172	0
ERN1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.338852048	0
PRKCZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0.575664347	0
PDE2A	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.542053127	0
SLC16A10	0	0	0	0	0	0	0	0	0	0	0	0	0	1.762018239	0
FRMD4B	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.806765159	0
MARS2	0	0	0	0	0	0	0	0	0	0	0	0	0	8.392925475	0
DNAJC19	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.01864237	0
FAM57A	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.932652181	0
HIF1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.521709658	0
Mar-01	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.143336997	0
LSM6	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.489188152	0
SLC35F5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.101362293	0
CCR3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.170641911	0
ADAT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168671395	0
LOC286052	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256377024	0
CCDC115	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.895153851	0
WNT5A	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.300049592	0
FBXO3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.75923012	0
DNM2	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.63630801	0
NFKBIE	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.196736842	0
CD300LB	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.115705336	0
SRFBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.011825153	0
ANPEP	0	0	0	0	0	0	0	0	0	0	0	0	0	1.677854695	0
GCSH	0	0	0	0	0	0	0	0	0	0	0	0	0	1.058203344	0
LOC541473	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.917365905	0
SUCLG2	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.132734903	0
KIT	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.051652302	0
KCNJ13	0	0	0	0	0	0	0	0	0	0	0	0	0	0.440134314	0
SPAG5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.337618563	0
FCER2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.08337262	0
LENG8	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.928481468	0
SAMD9L	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94630484	0
LY96	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103167831	0
PPP1R14A	0	0	0	0	0	0	0	0	0	0	0	0	0	3.148335086	0
SYMPK	0	0	0	0	0	0	0	0	0	0	0	0	0	5.186747587	0
FLVCR1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.992521179	0
MMP10	0	0	0	0	0	0	0	0	0	0	0	0	0	8.551429821	0
MMP12	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.129226057	0
SIAH2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.015668246	0
TLR1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.37434272	0
IFI16	0	0	0	0	0	0	0	0	0	0	0	0	0	0.992651181	0
GPR42	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.79782332	0
RNA45S5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.595991258	0
CD1B	0	0	0	0	0	0	0	0	0	0	0	0	0	1.393661437	0
RBM47	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13900741	0
KMT2A	0	0	0	0	0	0	0	0	0	0	0	0	0	-13.68811806	0
CD24	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.578718043	0
CASP4	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.24438975	0
TPSAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.46960627	0
EPN2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.869793801	0
GIMAP4	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.256198109	0
TLR8	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.196666821	0
F13A1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.812143057	0
PJA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.916046539	0
UGT2B28	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.967944203	0
FCGR1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.696978698	0
S100A8	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.253121913	0
RRN3P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035624558	0
TRIM22	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55999695	0
UBE2D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.534387385	0
CD1A	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.106046581	0
MNDA	0	0	0	0	0	0	0	0	0	0	0	0	0	0.398340893	0
DIDO1	0	0	0	0	0	0	0	0	0	0	0	0	0	9.218545509	0
SLA	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.139042316	0
CTNS	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.846626239	0
MAPK14	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.047888363	0
NR4A3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.310574301	0
MORC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.975906053	0
MSL2	0	0	0	0	0	0	0	0	0	0	0	0	0	3.364511026	0
IFIT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037650143	0
PALLD	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.569356618	0
SNX18	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.134870712	0
CYSLTR2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.872840295	0
PSMB9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263046532	0
PARP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.448635123	0
NUB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066873657	0
SBF2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.148611127	0
CLIC4	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.099456342	0
POLR2J4	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.156332262	0
S100A9	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.54803144	0
TLR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.436715644	0
STARD4	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.296583751	0
FHL3	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.259118559	0
CTBS	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38874569	0
DPH1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.976614785	0
AREG	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.08027832	0
IFIT2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.507724073	0
ARHGEF3	0	0	0	0	0	0	0	0	0	0	0	0	0	3.287488281	0
OLIG2	0	0	0	0	0	0	0	0	0	0	0	0	0	-51.7157176	0
ACSL1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.348084179	0
NMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000239151	0
CSF1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.554973377	0
WDFY3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.755499029	0
TLR6	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.603064598	0
CASP5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.371788942	0
PNPLA6	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.282566853	0
CPEB4	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.457691244	0
VAV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.828403127	0
CARD16	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.059023581	0
FAM129A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.776440439	0
GIMAP2	0	0	0	0	0	0	0	0	0	0	0	0	0	-8.091546687	0
HMG20B	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.546408457	0
ABHD3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.571448962	0
S1PR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236867404	0
LAP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.867594684	0
LOC100505812	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.095122306	0
TMLHE	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.232886003	0
ARL4C	0	0	0	0	0	0	0	0	0	0	0	0	0	5.837891776	0
CREB5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.535742798	0
RNF149	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.927945869	0
SIGLEC5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.478858149	0
ACN9	0	0	0	0	0	0	0	0	0	0	0	0	0	3.405077011	0
CLEC4D	0	0	0	0	0	0	0	0	0	0	0	0	0	0.352489807	0
JARID2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024618077	0
PKIB	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08489185	0
HERC5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.118102396	0
SYNE1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.399301174	0
CXCL10	0	0	0	0	0	0	0	0	0	0	0	0	0	2.327786897	0
RBM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053601771	0
IGLC1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.301820117	0
TRIM5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.524527408	0
FAM160B1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.020987971	0
CASP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046156473	0
STK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037391808	0
CDC73	0	0	0	0	0	0	0	0	0	0	0	0	0	2.123715866	0
GAPT	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.638832386	0
