	t.test	welch.test	wilcox.test	f.test	kruskal.test	limma	rfe	rf	lasso	elasticnet	boosting	golub	shrinkcat	foldChange	sum
SOCS1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.486421225	0
CCNYL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.897534147	0
CAMP	0	0	0	0	0	0	0	0	0	0	0	0	0	34.02842702	0
PTPRCAP	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.202812357	0
GNB4	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.01157548	0
STAC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.506490308	0
ASXL1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.489065389	0
ARPC3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.829770359	0
ADAM19	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.048832686	0
CD1C	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.911929276	0
PTBP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.123562343	0
ETS1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.15969877	0
GPR171	0	0	0	0	0	0	0	0	0	0	0	0	0	0.396908448	0
GGT5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.191903413	0
HRH4	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.986511075	0
BANK1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.172962408	0
THBS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.302072116	0
IL2RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0.251842946	0
RNPEP	0	0	0	0	0	0	0	0	0	0	0	0	0	-6.944325577	0
TRAM1	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.437476598	0
ANKRD10	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125352011	0
LINC01094	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.063489874	0
BTBD19	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.129123699	0
ADAM1A	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.247464841	0
COPG1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.298022921	0
PAQR8	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.173694074	0
C8orf60	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236308397	0
TPSB2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.904618976	0
ETS2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.169518674	0
FCF1	0	0	0	0	0	0	0	0	0	0	0	0	0	5.387437789	0
C11orf49	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.276690265	0
ANKRD44-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.569754853	0
XPNPEP3	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.931167902	0
TP53	0	0	0	0	0	0	0	0	0	0	0	0	0	8.07949025	0
OTOA	0	0	0	0	0	0	0	0	0	0	0	0	0	12.56006563	0
MAGOHB	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.162352558	0
BROX	0	0	0	0	0	0	0	0	0	0	0	0	0	11.19489613	0
PPP3R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.947870456	0
COQ2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.016785474	0
CSTA	0	0	0	0	0	0	0	0	0	0	0	0	0	21.68058684	0
ZNF610	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.352060267	0
CUL2	0	0	0	0	0	0	0	0	0	0	0	0	0	-19.17867145	0
IRF4	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.719192091	0
TMEM120A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.423283081	0
ITM2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.313642716	0
C5orf22	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.782300066	0
SUMO1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.283383403	0
PRDX3	0	0	0	0	0	0	0	0	0	0	0	0	0	9.254598989	0
LOC284454	0	0	0	0	0	0	0	0	0	0	0	0	0	0.968724281	0
C2CD5	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.368782522	0
FLJ37453	0	0	0	0	0	0	0	0	0	0	0	0	0	38.62663362	0
EXTL2	0	0	0	0	0	0	0	0	0	0	0	0	0	3.38586633	0
DCN	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.015139968	0
FAM101B	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.330122172	0
ERN1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.338852048	0
LOC100130264	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.687266938	0
SLC7A11	0	0	0	0	0	0	0	0	0	0	0	0	0	19.12890726	0
PRKCZ	0	0	0	0	0	0	0	0	0	0	0	0	0	0.575664347	0
SH2D2A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.705875561	0
PDE2A	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.542053127	0
SLC16A10	0	0	0	0	0	0	0	0	0	0	0	0	0	1.762018239	0
MAP3K1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.697207074	0
FRMD4B	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.806765159	0
MARS2	0	0	0	0	0	0	0	0	0	0	0	0	0	8.392925475	0
DNAJC19	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.01864237	0
FAM57A	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.932652181	0
HIF1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.521709658	0
Mar-01	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.143336997	0
LSM6	0	0	0	0	0	0	0	0	0	0	0	0	0	-7.489188152	0
ZYG11B	0	0	0	0	0	0	0	0	0	0	0	0	0	1.148143058	0
ZCRB1	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.60628293	0
ACAA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113045773	0
P2RY10	0	0	0	0	0	0	0	0	0	0	0	0	0	1.263825955	0
SLC35F5	0	0	0	0	0	0	0	0	0	0	0	0	0	1.101362293	0
RNF135	0	0	0	0	0	0	0	0	0	0	0	0	0	3.710306477	0
CCR3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.170641911	0
ADAT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168671395	0
PDIA6	0	0	0	0	0	0	0	0	0	0	0	0	0	4.57752618	0
LOC286052	0	0	0	0	0	0	0	0	0	0	0	0	0	0.256377024	0
CCDC115	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.895153851	0
SFMBT2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.24747108	0
WNT5A	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.300049592	0
FBXO3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.75923012	0
ZFYVE26	0	0	0	0	0	0	0	0	0	0	0	0	0	0.963536841	0
DNM2	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.63630801	0
NFKBIE	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.196736842	0
CD300LB	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.115705336	0
SRFBP1	0	0	0	0	0	0	0	0	0	0	0	0	0	2.011825153	0
ANPEP	0	0	0	0	0	0	0	0	0	0	0	0	0	1.677854695	0
GCSH	0	0	0	0	0	0	0	0	0	0	0	0	0	1.058203344	0
LOC541473	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.917365905	0
SUCLG2	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.132734903	0
KIT	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.051652302	0
FCGR3B	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.108846696	0
KCNJ13	0	0	0	0	0	0	0	0	0	0	0	0	0	0.440134314	0
SPAG5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.337618563	0
ZNF587B	0	0	0	0	0	0	0	0	0	0	0	0	0	9.457273305	0
FCER2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.08337262	0
LENG8	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.928481468	0
SAMD9L	0	0	0	0	0	0	0	0	0	0	0	0	0	0.94630484	0
LY96	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103167831	0
PPP1R14A	0	0	0	0	0	0	0	0	0	0	0	0	0	3.148335086	0
SYMPK	0	0	0	0	0	0	0	0	0	0	0	0	0	5.186747587	0
IL3RA	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.252871493	0
FLVCR1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.992521179	0
MMP10	0	0	0	0	0	0	0	0	0	0	0	0	0	8.551429821	0
MMP12	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.129226057	0
SIAH2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.015668246	0
FCGR1B	0	0	0	0	0	0	0	0	0	0	0	0	0	0.498509632	0
TLR1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.37434272	0
IFI16	0	0	0	0	0	0	0	0	0	0	0	0	0	0.992651181	0
NR4A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162823765	0
GPR42	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.79782332	0
RNA45S5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.595991258	0
CD1B	0	0	0	0	0	0	0	0	0	0	0	0	0	1.393661437	0
RBM47	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13900741	0
KMT2A	0	0	0	0	0	0	0	0	0	0	0	0	0	-13.68811806	0
CD24	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.578718043	0
CASP4	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.24438975	0
TPSAB1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.46960627	0
DNASE1L3	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.503764715	0
EPN2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.869793801	0
GIMAP4	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.256198109	0
TLR8	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.196666821	0
F13A1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.812143057	0
PJA2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.916046539	0
UGT2B28	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.967944203	0
FCGR1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.696978698	0
S100A8	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.253121913	0
RRN3P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035624558	0
NFKBID	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.338434385	0
TRIM22	0	0	0	0	0	0	0	0	0	0	0	0	0	0.55999695	0
HSD17B11	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.530166927	0
UBE2D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.534387385	0
CD1A	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.106046581	0
MNDA	0	0	0	0	0	0	0	0	0	0	0	0	0	0.398340893	0
DIDO1	0	0	0	0	0	0	0	0	0	0	0	0	0	9.218545509	0
SLA	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.139042316	0
CTNS	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.846626239	0
MAPK14	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.047888363	0
NR4A3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.310574301	0
MORC3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.975906053	0
MSL2	0	0	0	0	0	0	0	0	0	0	0	0	0	3.364511026	0
IFIT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037650143	0
PALLD	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.569356618	0
SNX18	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.134870712	0
CYSLTR2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.872840295	0
PSMB9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263046532	0
PARP9	0	0	0	0	0	0	0	0	0	0	0	0	0	0.448635123	0
NUB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066873657	0
SBF2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.148611127	0
CLIC4	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.099456342	0
POLR2J4	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.156332262	0
S100A9	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.54803144	0
TLR4	0	0	0	0	0	0	0	0	0	0	0	0	0	0.436715644	0
STARD4	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.296583751	0
FHL3	0	0	0	0	0	0	0	0	0	0	0	0	0	-3.259118559	0
TANC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.322527754	0
CTBS	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38874569	0
DPH1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.976614785	0
AREG	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.08027832	0
IFIT2	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.507724073	0
ARHGEF3	0	0	0	0	0	0	0	0	0	0	0	0	0	3.287488281	0
OLIG2	0	0	0	0	0	0	0	0	0	0	0	0	0	-51.7157176	0
ACSL1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.348084179	0
NMI	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000239151	0
DACH1	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.488116881	0
CSF1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.554973377	0
WDFY3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.755499029	0
TLR6	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.603064598	0
CASP5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.371788942	0
PNPLA6	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.282566853	0
CPEB4	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.457691244	0
VAV1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.828403127	0
CARD16	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.059023581	0
FAM129A	0	0	0	0	0	0	0	0	0	0	0	0	0	0.776440439	0
GIMAP2	0	0	0	0	0	0	0	0	0	0	0	0	0	-8.091546687	0
HMG20B	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.546408457	0
ABHD3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.571448962	0
S1PR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236867404	0
LAP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.867594684	0
LOC100505812	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.095122306	0
TMLHE	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.232886003	0
ARL4C	0	0	0	0	0	0	0	0	0	0	0	0	0	5.837891776	0
KRCC1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.382698879	0
CREB5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.535742798	0
YES1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.26740144	0
RNF149	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.927945869	0
ZNF395	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.406048705	0
SIGLEC5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.478858149	0
ACN9	0	0	0	0	0	0	0	0	0	0	0	0	0	3.405077011	0
CLEC4D	0	0	0	0	0	0	0	0	0	0	0	0	0	0.352489807	0
JARID2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024618077	0
PKIB	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08489185	0
HERC5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.118102396	0
SYNE1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.399301174	0
CXCL10	0	0	0	0	0	0	0	0	0	0	0	0	0	2.327786897	0
RBM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053601771	0
AP3M1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.527137947	0
IGLC1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.301820117	0
TRIM5	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.524527408	0
FAM160B1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.020987971	0
CASP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.046156473	0
STK3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037391808	0
CDC73	0	0	0	0	0	0	0	0	0	0	0	0	0	2.123715866	0
GAPT	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.638832386	0
CLOCK	0	0	0	0	0	0	0	0	0	0	0	0	0	-5.985812945	0
TNFSF10	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.119709255	0
CST1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.031113871	0
CPPED1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.38670466	0
NDFIP2	0	0	0	0	0	0	0	0	0	0	0	0	0	-13.46120897	0
PDCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.926637495	0
ASAP1-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	1.045629616	0
SPG11	0	0	0	0	0	0	0	0	0	0	0	0	0	1.401738709	0
POC1B	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.694346197	0
KLHL15	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.299882919	0
NAIP	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.154725199	0
LOC101927066	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.280996835	0
IFIH1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.061029567	0
MIR142	0	0	0	0	0	0	0	0	0	0	0	0	0	-2.554373183	0
OAS1	0	0	0	0	0	0	0	0	0	0	0	0	0	-4.16688585	0
UTP11L	0	0	0	0	0	0	0	0	0	0	0	0	0	1.280024275	0
APOL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0.270972774	0
ATAD2B	0	0	0	0	0	0	0	0	0	0	0	0	0	1.113326084	0
IL6ST	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69975995	0
RAB11FIP3	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.686865905	0
GADD45A	0	0	0	0	0	0	0	0	0	0	0	0	0	3.41132809	0
CXCR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.705532523	0
SPATA13	0	0	0	0	0	0	0	0	0	0	0	0	0	0.099487327	0
PARP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0.35236446	0
IGLV@	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.294075898	0
OAS3	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0251268	0
MSRB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428390003	0
SLC7A11-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.970760182	0
MRVI1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.495626979	0
PIGK	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.415123777	0
VNN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.559204565	0
NSUN7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.049633682	0
PTPN7	0	0	0	0	0	0	0	0	0	0	0	0	0	0.188972176	0
